"","commit_id","author_date","bugcount","fixcount","la","ld","nf","nd","ns","ent","revd","nrev","rtime","hcmt","self","ndev","age","nuc","app","aexp","rexp","oexp","arexp","rrexp","orexp","asexp","rsexp","osexp","asawr","rsawr","osawr","churn","buggy","fix","bugdens","strata"
"5","0006255d847ebff402dc771092c115ae714d8e10",1363894865,0,0,12,10,4,1,1,0.66578981129289,TRUE,1,6852,2,FALSE,4,15242.5,40,1,946,2219,2529,895,1912,2174,390,1496,1673,0.0298883962696835,0.114432044029965,0.127962085308057,22,FALSE,FALSE,0,"7"
"17","00202e15fd73057f396c00cabf3c965d7694c365",1365171691,0,0,1,1,1,1,1,0,TRUE,1,67593,1,FALSE,27,10597,89,2,1703,2200,2200,1400,1772,1772,1297,1697,1697,0.0977336043972592,0.12785181838717,0.12785181838717,2,FALSE,FALSE,0,"7"
"28","00388a96f3324b540580d8171102b4ae1cf17f0e",1363880652,0,0,2,2,1,1,1,0,TRUE,2,2053193,3,FALSE,1,10127066,1,3,131,284,284,121,263,263,120,241,241,0.00925642594859241,0.0185128518971848,0.0185128518971848,4,FALSE,FALSE,0,"7"
"37","004f25df78160d1caba2375fb2e6511a0c344bc8",1369153347,0,1,5,3,2,2,2,0.811278124459133,TRUE,1,160861,2,FALSE,19,9045756.5,45,3,291,1928,1928,281,1482,1482,274,1800,1800,0.018896447467876,0.123754552325981,0.123754552325981,8,FALSE,TRUE,0,"7"
"39","00556b20067c3a4adf6ff33a17d2a4232fdce6ee",1367999716,0,0,1,1,1,1,1,0,TRUE,2,181803,1,FALSE,26,81144,53,2,155,1309,1309,154,1009,1009,118,1164,1164,0.00855438142477176,0.0837466752929337,0.0837466752929337,2,FALSE,FALSE,0,"7"
"52","0070efb193fe5e6623fbef03f9703c75da7f8c3b",1368140878,0,0,8,8,1,1,1,0,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,16,FALSE,FALSE,0,"7"
"64","008aedc8d11f7bcfd4aa64aab064646bda812def",1367336105,0,0,1,1,1,1,1,0,TRUE,1,28694,3,FALSE,16,357221,68,2,722,774,1487,537,630,1160,644,689,1324,0.0468545692285341,0.050123492663083,0.0962516344617173,2,FALSE,FALSE,0,"7"
"77","00a07bcbd7a592072822b0e55ab2e75e90c3f9f5",1369678993,1,0,58,40,3,1,1,0.569731367913199,TRUE,4,90215,4,FALSE,22,185202.666666667,105,1,1264,2567,2900,1210,2135,2418,697,1837,2032,0.0490823430138528,0.129245482033612,0.142957597918571,98,TRUE,FALSE,0.0102040816326531,"7"
"78","00a1a99261bd96c1ee928350656bb1012dea4d21",1370474209,0,0,13,13,3,1,1,0.781659664527667,TRUE,1,24436,2,FALSE,37,2451250,128,1,2643,1340,2979,2190,1285,2476,1909,771,2107,0.132721840038913,0.0536446390104927,0.146480439163366,26,FALSE,FALSE,0,"7"
"84","00afa66eed52e7313eb930ee6b3a41c80add213d",1370884302,0,0,10,6,2,1,1,0.988699408288497,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,16,FALSE,FALSE,0,"7"
"86","00b11ccdead05d77589d4ec5ebb3b376c6ae2ca1",1366126859,0,1,28,2,2,2,2,0.836640741941167,TRUE,5,1349259,11,FALSE,19,881931,45,2,368,784,1151,365,632,996,357,758,1114,0.0226110023368913,0.0479378513231858,0.0704225352112676,30,FALSE,TRUE,0,"7"
"153","012d3750e79ebe4ceaffc0aa2a6bcccd02d47614",1367556310,0,0,24,1,3,2,2,0.680345483920111,TRUE,8,6057290,5,FALSE,17,2954120.66666667,37,2,129,2173,2173,102,1699,1699,129,2095,2095,0.00804455445544554,0.12970297029703,0.12970297029703,25,FALSE,FALSE,0,"7"
"178","01518ec2e28bfc9f95a8f440a77814a69b92a447",1366989201,0,0,23,2,1,1,1,0,TRUE,9,333872,3,FALSE,4,102090,5,2,271,498,498,261,486,486,251,466,466,0.0183874498358263,0.0340751550529004,0.0340751550529004,25,FALSE,FALSE,0,"7"
"181","01543f8b7da9b7f3c9a3065f11a5ff1665b7c956",1369840331,0,0,3,3,1,1,1,0,TRUE,1,7632220,2,FALSE,5,1129851,11,4,1242,1486,1486,980,1196,1196,593,765,765,0.0416462174858024,0.0537053915726004,0.0537053915726004,6,FALSE,FALSE,0,"7"
"203","018937c7ba8b9afb85b8ae7ccb2aba438768cdf5",1366279882,0,0,59,1,1,1,1,0,TRUE,1,46622,1,FALSE,4,2393845,5,2,68,226,226,61,216,216,7,127,127,0.0432432432432432,0.691891891891892,0.691891891891892,60,FALSE,FALSE,0,"7"
"224","01b10d7da1abe237f6f70b201a32d693c0d1d47a",1366806951,0,0,68,0,2,1,1,0.959686893774217,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,68,FALSE,FALSE,0,"7"
"228","01b6eea4157a7a3d45e55e3ada9786aaaccb99fb",1370894190,0,0,1,0,1,1,1,0,TRUE,1,44192,2,FALSE,11,6947309,19,3,183,2370,2370,165,1782,1782,153,2029,2029,0.0106405030055966,0.140261175982865,0.140261175982865,1,FALSE,FALSE,0,"7"
"231","01bc34088eb8e7fb4842fa1c2117cddbac086136",1367307306,0,0,18,0,2,2,2,0.91829583405449,TRUE,4,687421,7,FALSE,28,3075661,58,2,231,639,639,201,519,519,209,613,613,0.0130418581542666,0.0381319090796174,0.0381319090796174,18,FALSE,FALSE,0,"7"
"238","01cbd7e4b5ef841c9e091f54cb7ffa6bb059ac31",1366612523,0,0,49,24,3,2,2,0.871706755446791,TRUE,6,130798,13,FALSE,22,205483.333333333,47,2,165,449,449,150,420,420,122,398,398,0.00772564537403429,0.0250612398718673,0.0250612398718673,73,FALSE,FALSE,0,"7"
"259","01f3ef20502c09ae0b001aa06212b646223a2ddd",1365778869,0,0,7,4,3,2,1,0.992215060722018,TRUE,1,252525,4,FALSE,33,3991976.66666667,50,1,18,1178,1184,18,978,984,18,565,571,0.00141674744612631,0.0422041607635523,0.042651554693908,11,FALSE,FALSE,0,"7"
"263","01fb843af88d949cd38b494a60bb64b730a045d2",1363640035,2,0,530,3,6,3,2,0.806581531187352,TRUE,41,21560570,16,TRUE,42,440512.5,217,1,714,714,714,593,593,593,688,688,688,0.0450209095661265,0.0450209095661265,0.0450209095661265,533,TRUE,FALSE,0.00375234521575985,"7"
"290","02311c07cf98d5a39a05a81aac5d5fc318f2d822",1368879578,0,0,101,101,10,1,1,0.875106499823442,TRUE,2,434582,3,FALSE,24,159421,124,2,135,354,354,119,324,324,106,312,312,0.00759943181818182,0.0222301136363636,0.0222301136363636,202,FALSE,FALSE,0,"7"
"320","02679d93c4455d8d2f74002574a87801269fde56",1367504107,0,0,1,0,1,1,1,0,TRUE,3,471581,8,FALSE,21,4085495,50,3,17,2542,2542,17,2160,2160,6,495,495,0.00131950989632422,0.0934967012252592,0.0934967012252592,1,FALSE,FALSE,0,"7"
"324","02713994bf9c72a3cf1ab55b780ab23916d6f79b",1365781838,0,0,10,0,3,1,1,0.960229717860761,TRUE,1,583928,5,FALSE,1,11067777,1,3,19,2968,2973,19,2401,2406,19,1981,1986,0.00149086843086098,0.147745061498323,0.148117778606038,10,FALSE,FALSE,0,"7"
"398","02f2cef57f2bd3dff97a7cd004720715f48dfeeb",1371329038,0,0,2,2,1,1,1,0,TRUE,1,33580,2,FALSE,26,88314,121,1,1450,2752,3096,1393,2284,2574,119,511,577,0.0219418540866703,0.09361857743646,0.105686597184129,4,FALSE,FALSE,0,"7"
"407","03099b176e6968f25bda23d53da79814430d6e07",1365764061,0,0,1,1,1,1,1,0,TRUE,1,31542,1,FALSE,1,3880342,1,2,155,196,196,151,188,188,116,128,128,0.65,0.716666666666667,0.716666666666667,2,FALSE,FALSE,0,"7"
"410","030ebca1f74dfb6f858bc4e2c594bd2075ca189c",1367242569,0,1,92,62,1,1,1,0,TRUE,2,358122,5,FALSE,7,10117103,12,3,1148,1743,1743,861,1333,1333,1040,1556,1556,0.0757421420256112,0.113285797438882,0.113285797438882,154,FALSE,TRUE,0,"7"
"416","031776378153703635524a6f14dbd6aaa3374224",1367912795,0,1,13,1,1,1,1,0,TRUE,1,101936,2,FALSE,11,4225697,39,2,344,573,573,259,479,479,227,410,410,0.0164371710763463,0.0296301636507822,0.0296301636507822,14,FALSE,TRUE,0,"7"
"425","0328241012fc2dc00f4384d37184e2ba7525fb39",1367833073,0,0,126,98,19,2,1,0.778825341941912,TRUE,1,5372,2,FALSE,30,204704.052631579,124,1,2392,1101,2719,2008,1048,2284,1664,536,1853,0.120233968804159,0.0387781629116118,0.133882149046794,224,FALSE,FALSE,0,"7"
"449","034b3e2d37960eee05791dfc0b083ca43b527be6",1370515773,0,0,56,56,6,2,1,0.866841748265206,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,112,FALSE,FALSE,0,"7"
