"","commit_id","author_date","bugcount","fixcount","la","ld","nf","nd","ns","ent","revd","nrev","rtime","hcmt","self","ndev","age","nuc","app","aexp","rexp","oexp","arexp","rrexp","orexp","asexp","rsexp","osexp","asawr","rsawr","osawr","churn","buggy","fix","bugdens","strata"
"50","007a1856dd8b5a781a3abe312a023344995162d6",1347632012,0,0,12,6,1,1,1,0,TRUE,3,532526,5,FALSE,37,22610,74,2,0,1014,1014,0,1011,1011,0,827,827,0.000397930760047752,0.329486669319538,0.329486669319538,18,FALSE,FALSE,0,"3"
"58","0094303e36cf1c01db539a1eea7771ebcb4d336a",1346864368,0,0,145,112,2,1,1,0.988073695798481,TRUE,1,5641,2,FALSE,4,5431534.5,10,2,338,167,486,337,167,485,3,1,4,0.0363636363636364,0.0181818181818182,0.0454545454545455,257,FALSE,FALSE,0,"3"
"77","00c3fde8f841ae20810a8dc86d57f6231f2eba43",1351806741,0,0,5,2,2,2,2,0.863120568566631,TRUE,4,660368,9,FALSE,8,1126884,11,2,0,93,93,0,93,93,0,90,90,0.00383141762452107,0.348659003831418,0.348659003831418,7,FALSE,FALSE,0,"3"
"84","00dd97c7e9a852f4abd6e8460a0d094c01d3d0ba",1347205765,1,0,103,56,5,4,1,0.574483013459184,TRUE,3,-25781966,7,FALSE,21,298129.8,69,2,42,217,231,42,217,231,40,209,222,0.128125,0.65625,0.696875,159,TRUE,FALSE,0.00628930817610063,"3"
"168","01aa0f25d8d30050c3216d85011e166bb0358b6d",1347068084,2,0,94,27,5,2,1,0.848219452002744,TRUE,3,-25784290,5,FALSE,3,43371.2,7,2,33,297,312,33,296,311,24,253,259,0.0825082508250825,0.838283828382838,0.858085808580858,121,TRUE,FALSE,0.0165289256198347,"3"
"240","026846c7b5a9f985a9218725a5ad4ed391a2aef0",1349297345,0,0,2,1,1,1,1,0,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,3,FALSE,FALSE,0,"3"
"248","027248a9bbc906940de948d75b58709e0971141f",1354154799,0,0,1,1,1,1,1,0,TRUE,1,52443,3,FALSE,66,5682,296,3,1,679,679,1,678,678,1,614,614,0.000645161290322581,0.198387096774194,0.198387096774194,2,FALSE,FALSE,0,"3"
"265","0291266fb61dd398147fa2ae1a37366dd2fa869e",1349132419,0,0,14,13,3,3,1,0.918555783726957,TRUE,1,6209,2,FALSE,44,267799.666666667,114,2,765,720,1232,761,708,1216,728,623,1110,0.276450511945392,0.236632536973834,0.421312097080015,27,FALSE,FALSE,0,"3"
"307","03105bf245860dd67735c072eb7c2ec85dd3c14a",1351198975,0,0,31,2,2,2,1,0.329846070207146,TRUE,2,178725,4,FALSE,83,53219.5,426,2,42,1588,1598,42,1578,1588,41,1464,1473,0.0151460512080779,0.528308690948431,0.531554273350162,33,FALSE,FALSE,0,"3"
"369","03b6cc9a87f891fe0ab0019471cb890ea53ae9ea",1353169777,0,0,5,5,1,1,1,0,TRUE,1,163785,2,FALSE,1,6912780,1,2,703,1466,1858,666,1444,1804,556,1368,1647,0.184620483924428,0.453762015246934,0.546237984753066,10,FALSE,FALSE,0,"3"
"398","0406d1f85fa93db4e4d5ab8b37d298951d4c4193",1352403667,0,0,1,1,1,1,1,0,TRUE,2,25916,3,FALSE,46,32685,110,2,8,1777,1780,8,1746,1749,8,1618,1621,0.00308747855917667,0.555403087478559,0.556432246998285,2,FALSE,FALSE,0,"3"
"401","040d9309c52a517c4236b3750fdde7a69c4be5e7",1353302859,0,0,42,0,4,4,1,0.557948705741323,TRUE,4,258204,5,FALSE,19,473802.75,33,1,43,280,284,43,280,284,36,193,196,0.167420814479638,0.877828054298643,0.891402714932127,42,FALSE,FALSE,0,"3"
"420","0436cbdb882b532f0d01c41108508c6d4da3544e",1349252360,0,0,23,8,1,1,1,0,TRUE,4,594516,5,FALSE,17,3534981,20,2,0,1304,1304,0,1298,1298,0,1219,1219,0.000377500943752359,0.460551151377878,0.460551151377878,31,FALSE,FALSE,0,"3"
"460","047a6f838a25ff83909b876dc07817967eaf7884",1347580609,0,0,86,0,2,1,1,0,TRUE,1,417756,2,FALSE,0,0,0,2,893,344,1041,880,343,1028,387,135,395,0.749034749034749,0.262548262548263,0.764478764478765,86,FALSE,FALSE,0,"3"
"489","04b0ed7ae4966259aa1967dc7e5ebb093be583c8",1350173006,0,0,3,1,1,1,1,0,TRUE,1,414232,3,FALSE,10,2051789,23,2,268,954,1037,267,910,993,149,432,437,0.265017667844523,0.765017667844523,0.773851590106007,4,FALSE,FALSE,0,"3"
"547","05383d1340aecd7192609a9197c249886d844a46",1352472358,0,0,107,69,10,9,1,0.910843836127055,TRUE,9,-19650646,12,FALSE,29,108600.6,123,2,114,276,342,114,273,339,104,246,306,0.235955056179775,0.555056179775281,0.689887640449438,176,FALSE,FALSE,0,"3"
"549","053bca72255bde37a4f7384b35ecedb85cff35d7",1352804172,0,0,80,0,2,1,1,0.230709955691476,TRUE,1,389262,4,FALSE,0,0,0,3,73,643,700,73,642,699,70,614,668,0.0239702903443619,0.207629979743417,0.225860904794058,80,FALSE,FALSE,0,"3"
"561","05562a37f8ef35499ef5fea928360afa7fa5dbcd",1353421646,0,0,1,0,1,1,1,0,TRUE,1,3749,2,FALSE,50,382714,117,2,212,1127,1236,201,1089,1197,4,12,15,0.0423728813559322,0.110169491525424,0.135593220338983,1,FALSE,FALSE,0,"3"
"579","059940646802fb400c4e59b46d805f40ba61b70f",1347202878,0,0,16,22,3,2,1,0.601284815822442,TRUE,1,93493,2,FALSE,4,437012,5,2,2,640,642,2,640,642,1,586,587,0.000816326530612245,0.239591836734694,0.24,38,FALSE,FALSE,0,"3"
"599","05f1e1a8c4589fef41f2e53fe59e790bd9936d88",1347064707,0,0,94,0,2,2,2,0,TRUE,1,491962,2,FALSE,5,2891424,9,2,881,562,1299,869,561,1287,376,62,391,0.743589743589744,0.124260355029586,0.773175542406312,94,FALSE,FALSE,0,"3"
"629","063789b14e62a3bcbf7448fa46b4f6546325c417",1347043459,0,0,102,85,6,4,2,0.648309081305655,TRUE,3,351271,8,FALSE,16,140069,37,2,23,91,103,23,91,103,23,88,100,0.113207547169811,0.419811320754717,0.476415094339623,187,FALSE,FALSE,0,"3"
"632","064948eb96cd6f585ed18af3966aaba0ff190ae1",1351896247,0,0,21,1,2,2,1,0.439496986921513,TRUE,2,379021,10,FALSE,27,235497,35,1,955,1341,2084,884,1330,2006,482,1250,1529,0.169176882661996,0.438178633975482,0.535901926444834,22,FALSE,FALSE,0,"3"
"666","06b2b2b22a3f0a90a7ad60c09f360a1cec1f2b94",1353390064,0,0,12,124,4,3,1,0.732256054325297,TRUE,2,-18482697,2,FALSE,9,1569502,21,2,14,373,383,13,373,382,11,344,351,0.025531914893617,0.734042553191489,0.748936170212766,136,FALSE,FALSE,0,"3"
"698","071378de19df2129a7d6ac76cdeca41114c05736",1354050450,0,0,1,1,1,1,1,0,TRUE,1,2632,4,FALSE,3,600841,5,4,588,687,1123,588,665,1101,526,556,944,0.170826580226904,0.180551053484603,0.306320907617504,2,FALSE,FALSE,0,"3"
