"","commit_id","author_date","bugcount","fixcount","la","ld","nf","nd","ns","ent","revd","nrev","rtime","hcmt","self","ndev","age","nuc","app","aexp","rexp","oexp","arexp","rrexp","orexp","asexp","rsexp","osexp","asawr","rsawr","osawr","churn","buggy","fix","bugdens","strata"
"5","0006255d847ebff402dc771092c115ae714d8e10",1363894865,0,0,12,10,4,1,1,0.66578981129289,TRUE,1,6852,2,FALSE,4,15242.5,40,1,946,2219,2529,895,1912,2174,390,1496,1673,0.0298883962696835,0.114432044029965,0.127962085308057,22,FALSE,FALSE,0,"3"
"17","00202e15fd73057f396c00cabf3c965d7694c365",1365171691,0,0,1,1,1,1,1,0,TRUE,1,67593,1,FALSE,27,10597,89,2,1703,2200,2200,1400,1772,1772,1297,1697,1697,0.0977336043972592,0.12785181838717,0.12785181838717,2,FALSE,FALSE,0,"3"
"28","00388a96f3324b540580d8171102b4ae1cf17f0e",1363880652,0,0,2,2,1,1,1,0,TRUE,2,2053193,3,FALSE,1,10127066,1,3,131,284,284,121,263,263,120,241,241,0.00925642594859241,0.0185128518971848,0.0185128518971848,4,FALSE,FALSE,0,"3"
"37","004f25df78160d1caba2375fb2e6511a0c344bc8",1369153347,0,1,5,3,2,2,2,0.811278124459133,TRUE,1,160861,2,FALSE,19,9045756.5,45,3,291,1928,1928,281,1482,1482,274,1800,1800,0.018896447467876,0.123754552325981,0.123754552325981,8,FALSE,TRUE,0,"3"
"39","00556b20067c3a4adf6ff33a17d2a4232fdce6ee",1367999716,0,0,1,1,1,1,1,0,TRUE,2,181803,1,FALSE,26,81144,53,2,155,1309,1309,154,1009,1009,118,1164,1164,0.00855438142477176,0.0837466752929337,0.0837466752929337,2,FALSE,FALSE,0,"3"
"52","0070efb193fe5e6623fbef03f9703c75da7f8c3b",1368140878,0,0,8,8,1,1,1,0,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,16,FALSE,FALSE,0,"3"
"59","0077b5f30de7190227317247609c820f37466960",1361459266,0,0,14,16,4,3,1,0.618320370970584,TRUE,1,165829,1,FALSE,14,2255,35,2,321,1348,1348,306,1111,1111,282,1218,1218,0.022796842274851,0.0981955856291284,0.0981955856291284,30,FALSE,FALSE,0,"3"
"64","008aedc8d11f7bcfd4aa64aab064646bda812def",1367336105,0,0,1,1,1,1,1,0,TRUE,1,28694,3,FALSE,16,357221,68,2,722,774,1487,537,630,1160,644,689,1324,0.0468545692285341,0.050123492663083,0.0962516344617173,2,FALSE,FALSE,0,"3"
"65","008c455a6a217cd19a8c289f765bf1ad55a24c5c",1355787973,0,0,36,0,9,9,1,1,TRUE,1,2378819,2,FALSE,4,7730264,6,2,1711,1868,1868,1623,1776,1776,1480,1605,1605,0.130946065428824,0.141998231653404,0.141998231653404,36,FALSE,FALSE,0,"3"
"71","0095efa64a678e4802097b69eb54937080064c52",1358932038,0,0,22,11,5,1,5,0.663603867738623,TRUE,1,1740,2,FALSE,4,59553.2,163,1,1845,640,2104,1633,599,1852,152,126,162,0.932926829268293,0.774390243902439,0.99390243902439,33,FALSE,FALSE,0,"3"
"77","00a07bcbd7a592072822b0e55ab2e75e90c3f9f5",1369678993,1,0,58,40,3,1,1,0.569731367913199,TRUE,4,90215,4,FALSE,22,185202.666666667,105,1,1264,2567,2900,1210,2135,2418,697,1837,2032,0.0490823430138528,0.129245482033612,0.142957597918571,98,TRUE,FALSE,0.0102040816326531,"3"
"78","00a1a99261bd96c1ee928350656bb1012dea4d21",1370474209,0,0,13,13,3,1,1,0.781659664527667,TRUE,1,24436,2,FALSE,37,2451250,128,1,2643,1340,2979,2190,1285,2476,1909,771,2107,0.132721840038913,0.0536446390104927,0.146480439163366,26,FALSE,FALSE,0,"3"
"84","00afa66eed52e7313eb930ee6b3a41c80add213d",1370884302,0,0,10,6,2,1,1,0.988699408288497,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,16,FALSE,FALSE,0,"3"
"85","00b0dff93f77bed09687b876777bbf0cb4d6bfff",1357209278,0,0,16,9,2,1,1,0.529360865287364,TRUE,1,30642,3,FALSE,5,6106034,8,1,32,266,291,32,266,291,31,240,264,0.00279183388588379,0.0210259989530623,0.0231198743674751,25,FALSE,FALSE,0,"3"
"86","00b11ccdead05d77589d4ec5ebb3b376c6ae2ca1",1366126859,0,1,28,2,2,2,2,0.836640741941167,TRUE,5,1349259,11,FALSE,19,881931,45,2,368,784,1151,365,632,996,357,758,1114,0.0226110023368913,0.0479378513231858,0.0704225352112676,30,FALSE,TRUE,0,"3"
