"","commit_id","author_date","bugcount","fixcount","la","ld","nf","nd","ns","ent","revd","nrev","rtime","hcmt","self","ndev","age","nuc","app","aexp","rexp","oexp","arexp","rrexp","orexp","asexp","rsexp","osexp","asawr","rsawr","osawr","churn","buggy","fix","bugdens","strata"
"11","0014f2c828dae5f9481a2bac68fe90a7857b2f59",1377995125,0,0,7,8,2,1,1,0.996791631981637,TRUE,1,175209,3,FALSE,17,277757,26,3,122,425,449,122,398,422,89,257,275,0.2,0.573333333333333,0.613333333333333,15,FALSE,FALSE,0,"3"
"24","0043044f2e8ee3de8a9995bdbf51aad77f1a3fa9",1373357890,3,0,580,283,8,5,1,0.849501874917022,TRUE,2,112913,4,FALSE,5,280556.5,7,2,5,685,687,5,662,664,2,42,43,0.06,0.86,0.88,863,TRUE,FALSE,0.00347624565469293,"3"
"29","0057aed72c6e92fbc7bfe27eb9a30f191eed3fd4",1380799475,0,0,2,2,1,1,1,0,TRUE,3,619709,9,FALSE,6,311548,13,3,568,786,812,432,601,620,434,449,473,0.44478527607362,0.460122699386503,0.484662576687117,4,FALSE,FALSE,0,"3"
"35","005ff1100a11c83808471ece313d0f9001f4653c",1374603627,0,0,132,201,2,1,1,0.909022156087815,TRUE,7,784612,15,FALSE,17,994879.5,35,3,3,812,815,3,778,781,0,673,673,0.00132978723404255,0.896276595744681,0.896276595744681,333,FALSE,FALSE,0,"3"
"43","006a4e5e31a12d049c3d6308c3a2d73f57cd980f",1374767629,0,0,15,3,2,2,1,0.991076059838222,TRUE,1,344624,4,FALSE,31,1365650,77,4,157,1328,1457,88,1119,1191,36,250,283,0.0415263748597082,0.281705948372615,0.318742985409652,18,FALSE,FALSE,0,"3"
"56","008c3836c95a0183b3e6397a69f1420b0e55ec99",1371785339,0,0,14,14,3,3,1,0.748040513754101,TRUE,3,1669221,9,FALSE,27,67022.3333333333,54,1,153,572,700,153,525,653,150,520,646,0.0304128902316213,0.104934541792548,0.13031218529708,28,FALSE,FALSE,0,"3"
"81","00cebe1d57c7cfadc6017a65febd6188630b2456",1374560738,0,0,20,16,2,2,1,0.991076059838222,TRUE,1,648700,2,FALSE,5,1392878.5,8,2,133,353,449,133,347,443,45,343,351,0.00858689565055068,0.0642150457345529,0.0657084188911704,36,FALSE,FALSE,0,"3"
"91","00f9d718d2d746ca8664290b79c852bb91fca1cc",1377899815,0,0,9,9,3,3,1,0.905712598013837,TRUE,6,865728,14,FALSE,34,6449,127,3,53,360,412,53,342,394,2,295,296,0.00523560209424084,0.516579406631763,0.518324607329843,18,FALSE,FALSE,0,"3"
"95","00ff9367f25d34ea43aceb40a6146d8d53e5c06f",1379572499,0,0,10,2,2,2,1,0.979868756651153,TRUE,9,17524287,19,FALSE,23,241535,46,2,8,303,307,8,230,234,5,170,171,0.00625,0.178125,0.179166666666667,12,FALSE,FALSE,0,"3"
"103","010bd1f392e67a6fcd276593b8c79acfe41d1cc7",1378720692,3,0,111,16,2,2,1,0.976210142437301,TRUE,12,17838304,37,FALSE,5,1058616.5,6,5,97,1220,1223,66,1097,1100,7,273,273,0.026578073089701,0.910299003322259,0.910299003322259,127,TRUE,FALSE,0.0236220472440945,"3"
