"","commit_id","author_date","bugcount","fixcount","la","ld","nf","nd","ns","ent","revd","nrev","rtime","hcmt","self","ndev","age","nuc","app","aexp","rexp","oexp","arexp","rrexp","orexp","asexp","rsexp","osexp","asawr","rsawr","osawr","churn","buggy","fix","bugdens","strata"
"14","001bd63e813cf19d1d6abbbfeb2599e6804807d5",1311258797,0,0,16,16,2,1,1,0.954434002924965,TRUE,2,14823,1,FALSE,3,21952,14,2,64,82,82,64,82,82,60,69,69,0.131182795698925,0.150537634408602,0.150537634408602,32,FALSE,FALSE,0,"0"
"41","0058f00b64268f87a33466646513f7a527beeecc",1309173472,0,0,10,0,1,1,1,0,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,10,FALSE,FALSE,0,"0"
"75","009e06553b4a29b497241ae1bca548fa122d8383",1315319945,0,0,1,11,8,4,1,0.972765278018163,TRUE,4,763491,3,TRUE,11,112044,19,1,25,25,25,25,25,25,21,21,21,0.0181368507831822,0.0181368507831822,0.0181368507831822,12,FALSE,FALSE,0,"0"
"76","009f3d14045e2e2a6eff8c87a8da9eaa621c5249",1313755550,0,0,5,0,2,1,1,0.721928094887362,TRUE,1,596966,1,FALSE,6,348087,9,2,56,121,121,56,121,121,53,116,116,0.0605381165919283,0.131165919282511,0.131165919282511,5,FALSE,FALSE,0,"0"
"152","012ba8c0e5270f962dbc891039c32f49d31c565b",1314183212,0,0,8,8,49,44,1,0.445258983885028,TRUE,4,516099,6,FALSE,2,18222.7142857143,3,3,4,124,124,4,124,124,4,69,69,0.0152439024390244,0.213414634146341,0.213414634146341,16,FALSE,FALSE,0,"0"
"158","01335edc94d2961bd4061ed2cb81ebd1151797bf",1314801802,0,0,129,112,57,16,2,0.881412363643245,TRUE,3,1080,0,TRUE,26,114979.98245614,163,1,57,57,57,57,57,57,53,53,53,0.0459574468085106,0.0459574468085106,0.0459574468085106,241,FALSE,FALSE,0,"0"
"197","017265b9383cbd616aaa2f5fee17dae8e28a161b",1314087658,0,0,33,31,2,1,1,0.200622324312715,TRUE,3,93925,0,TRUE,3,2031652.5,15,1,49,49,49,49,49,49,48,48,48,0.0526315789473684,0.0526315789473684,0.0526315789473684,64,FALSE,FALSE,0,"0"
"212","0192bf919fe03ac8e85190fa1c09720339eb9dd2",1315586512,0,0,3,42,1,1,1,0,TRUE,1,266882,3,FALSE,0,0,0,3,74,83,83,72,81,81,12,12,12,0.928571428571429,0.928571428571429,0.928571428571429,45,FALSE,FALSE,0,"0"
"229","01b72952c38b9193138eabdab6bdab632cd75ebd",1309266492,0,0,11,157,12,8,2,0.872924998764862,TRUE,1,10376,4,FALSE,7,181469.333333333,13,2,12,17,28,12,17,28,12,16,27,0.0663265306122449,0.086734693877551,0.142857142857143,168,FALSE,FALSE,0,"0"
"242","01d3aa82e4b37918ebb4c614a36dbe476695e902",1314975431,0,0,2,0,1,1,1,0,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,2,FALSE,FALSE,0,"0"
"245","01dac3cf55502d0a73490cd54ada14a84887901b",1311204972,0,0,2,2,2,2,2,1,TRUE,1,8501,2,FALSE,2,200139.5,3,1,33,19,52,33,19,52,22,15,37,0.0498915401301518,0.03470715835141,0.0824295010845987,4,FALSE,FALSE,0,"0"
"260","01f76d21d184a0561707815df8f15bd2f7e84191",1315534182,1,0,35,31,15,1,1,0.889875425682555,TRUE,3,342522,4,FALSE,6,264561,38,2,82,155,155,82,155,155,76,145,145,0.0593220338983051,0.112480739599384,0.112480739599384,66,TRUE,FALSE,0.0151515151515152,"0"
"262","01f94b710bd66f3289f545e3ac97433ce8419043",1315478213,0,0,6,5,2,1,1,0.684038435639042,TRUE,1,3688,2,FALSE,14,52484,41,1,114,115,208,114,115,208,111,109,199,0.0880503144654088,0.0864779874213836,0.157232704402516,11,FALSE,FALSE,0,"0"
"294","0235b9d0a6feb6c64571f0f48b7d89fa6415a738",1308729047,0,0,1,1,1,1,1,0,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,2,FALSE,FALSE,0,"0"
