"","commit_id","author_date","bugcount","fixcount","la","ld","nf","nd","ns","ent","revd","nrev","rtime","hcmt","self","ndev","age","nuc","app","aexp","rexp","oexp","arexp","rrexp","orexp","asexp","rsexp","osexp","asawr","rsawr","osawr","churn","buggy","fix","bugdens","strata"
"11","0014f2c828dae5f9481a2bac68fe90a7857b2f59",1377995125,0,0,7,8,2,1,1,0.996791631981637,TRUE,1,175209,3,FALSE,17,277757,26,3,122,425,449,122,398,422,89,257,275,0.2,0.573333333333333,0.613333333333333,15,FALSE,FALSE,0,"7"
"29","0057aed72c6e92fbc7bfe27eb9a30f191eed3fd4",1380799475,0,0,2,2,1,1,1,0,TRUE,3,619709,9,FALSE,6,311548,13,3,568,786,812,432,601,620,434,449,473,0.44478527607362,0.460122699386503,0.484662576687117,4,FALSE,FALSE,0,"7"
"91","00f9d718d2d746ca8664290b79c852bb91fca1cc",1377899815,0,0,9,9,3,3,1,0.905712598013837,TRUE,6,865728,14,FALSE,34,6449,127,3,53,360,412,53,342,394,2,295,296,0.00523560209424084,0.516579406631763,0.518324607329843,18,FALSE,FALSE,0,"7"
"95","00ff9367f25d34ea43aceb40a6146d8d53e5c06f",1379572499,0,0,10,2,2,2,1,0.979868756651153,TRUE,9,17524287,19,FALSE,23,241535,46,2,8,303,307,8,230,234,5,170,171,0.00625,0.178125,0.179166666666667,12,FALSE,FALSE,0,"7"
"103","010bd1f392e67a6fcd276593b8c79acfe41d1cc7",1378720692,3,0,111,16,2,2,1,0.976210142437301,TRUE,12,17838304,37,FALSE,5,1058616.5,6,5,97,1220,1223,66,1097,1100,7,273,273,0.026578073089701,0.910299003322259,0.910299003322259,127,TRUE,FALSE,0.0236220472440945,"7"
"108","010fe685e50a3680d8c8b9b6602677df90e815b3",1379327003,0,0,170,26,4,2,1,0.937904214910941,TRUE,11,1217297,16,FALSE,3,1034078.25,5,4,4,626,628,4,607,609,2,567,567,0.00300902708124373,0.569709127382146,0.569709127382146,196,FALSE,FALSE,0,"7"
"114","01194b356e39e3b0affca67015efb7634bf28697",1380128821,0,0,15,0,2,2,1,0.836640741941167,TRUE,4,1385738,7,FALSE,8,694280,9,3,207,995,995,149,882,882,6,293,293,0.0182767624020888,0.767624020887728,0.767624020887728,15,FALSE,FALSE,0,"7"
"148","016e22469a3ca111a1562db6d04fae20febf2dbb",1377921672,0,0,19,3,3,3,2,0.834202288644101,TRUE,2,314380,4,FALSE,18,72413.3333333333,34,2,125,352,427,118,334,402,67,347,364,0.104134762633997,0.532924961715161,0.55895865237366,22,FALSE,FALSE,0,"7"
"149","016e39734e1b70c1b004f1ae366c22b091463932",1380036533,0,1,26,27,6,2,1,0.863827074209224,TRUE,2,9807,4,FALSE,22,74390,36,2,136,1018,1126,136,865,973,0,8,8,0.0212765957446809,0.191489361702128,0.191489361702128,53,FALSE,TRUE,0,"7"
"155","018ba6302b0f5b909e9f32f44a14c21313a2663e",1385448857,0,1,40,8,4,3,1,0.898089845973749,TRUE,2,513931,8,FALSE,69,345523,183,6,34,1348,1354,34,1191,1197,29,1175,1176,0.0251256281407035,0.984924623115578,0.985762144053601,48,FALSE,TRUE,0,"7"
"164","01a44568cc60bb5a6dd7b55d69b20bba57d1b94b",1378455926,1,1,28,1,2,2,1,0.216396932451265,TRUE,6,3789279,11,FALSE,21,345612,45,5,205,3458,3551,205,2876,2969,117,2436,2515,0.0198252688172043,0.409442204301075,0.422715053763441,29,TRUE,TRUE,0.0344827586206897,"7"
"184","01debad5665bcae5c0f4745759ae744f85daa723",1380463909,0,0,10,0,1,1,1,0,TRUE,3,27455,4,FALSE,3,6211283,4,2,1245,760,1652,1128,718,1519,66,158,202,0.166666666666667,0.395522388059701,0.504975124378109,10,FALSE,FALSE,0,"7"
"186","01e1c027754b47239b9f9a6c40196512ec262986",1382420555,0,1,98,35,8,4,1,0.950315721083327,TRUE,9,14142958,35,FALSE,32,1066596.125,45,7,11,2352,2354,11,1792,1794,7,2103,2104,0.00125019534302235,0.328801375214877,0.328957649632755,133,FALSE,TRUE,0,"7"
"188","01e45596fae2818b41c76b41bef46e86c5d33231",1382184363,0,1,45,1,2,2,1,0.258018668664815,TRUE,5,2961140,21,FALSE,7,1468347,9,8,148,1133,1199,148,1031,1097,89,312,346,0.191897654584222,0.667377398720682,0.739872068230277,46,FALSE,TRUE,0,"7"
"196","01f58d68262aab1ac63683c9fac91b4da764aa92",1378828892,0,0,237,83,5,5,2,0.733806753445843,TRUE,3,766584,6,FALSE,49,371916.6,205,2,155,382,501,122,361,448,153,377,494,0.225475841874085,0.553440702781845,0.724743777452416,320,FALSE,FALSE,0,"7"
"216","022a4da0507924f57b563e7a5a09ea9d01e63c0e",1378992918,0,0,25,0,2,2,1,0.634309554640566,TRUE,5,941120,11,FALSE,10,3913887.5,16,4,287,2566,2736,287,2303,2473,251,1722,1869,0.0418535127055306,0.286165088855672,0.310579637933898,25,FALSE,FALSE,0,"7"
"223","0239429c193f89444a9086d2d2c876cf06ed701b",1380832446,0,0,13,8,3,3,1,0.72483409150576,TRUE,14,722453,9,FALSE,37,833792,156,3,824,3154,3624,809,2515,2974,805,2140,2594,0.129979035639413,0.345266892436704,0.418480890179003,21,FALSE,FALSE,0,"7"
"233","0252d0981af9daaf9370a50c28d8baf4a9d29619",1383917888,0,0,33,0,2,2,1,0.994030211476956,TRUE,11,6746154,36,FALSE,159,301449,784,8,64,1294,1345,48,1120,1157,61,1237,1286,0.00947867298578199,0.189267696070937,0.196758905366152,33,FALSE,FALSE,0,"7"
"237","02619bfd207d0d4f7e404203b539a20b3598cd80",1381791651,0,0,2,33,2,2,1,0.863120568566631,TRUE,4,1178861,5,FALSE,24,1729957.5,41,3,1705,2425,3587,1472,2282,3219,1609,1576,2658,0.254787149865485,0.249564804557683,0.420794429498338,35,FALSE,FALSE,0,"7"
"239","026843773b71ab0ac30abb36fe9eed92f5e11f7a",1381148899,0,1,32,24,3,2,1,0.746232414264214,TRUE,2,2056053,6,FALSE,44,275619,104,7,1278,3528,3528,1156,3191,3191,463,2382,2382,0.0745621083078901,0.382934276072634,0.382934276072634,56,FALSE,TRUE,0,"7"
"244","026d50f718a7ebd61669f885c0b9556066041540",1378217189,1,0,86,86,33,14,1,0.926077298320354,TRUE,11,3327528,22,FALSE,226,93886.0909090909,1193,3,252,1775,1996,223,1434,1634,73,1527,1574,0.0125126817720663,0.258369969563747,0.266317213391951,172,TRUE,FALSE,0.00581395348837209,"7"
"251","0278a38153f9649aab1cc641bfabd8d5738d2d8c",1378139762,1,0,43,0,5,5,1,0.92149311369008,TRUE,31,972727,27,FALSE,57,264376,127,7,0,1347,1347,0,1261,1261,0,862,862,0.00106723585912487,0.92102454642476,0.92102454642476,43,TRUE,FALSE,0.0232558139534884,"7"
"262","028cca90c7c5e2b17205740d9198cbb443e6a2b2",1379434541,2,0,66,8,5,4,1,0.810851214748097,TRUE,6,991930,14,FALSE,12,244868,13,2,0,777,777,0,723,723,0,262,262,0.00289017341040462,0.760115606936416,0.760115606936416,74,TRUE,FALSE,0.027027027027027,"7"
"267","0292ec8a09d2a3dc155f67b77e38062fe749f77a",1383967864,1,0,72,63,13,11,1,0.846370649290153,TRUE,11,2887723,27,FALSE,263,1809.76923076923,1651,2,1785,468,2093,1520,432,1798,1688,446,1979,0.25809902200489,0.0683068459657702,0.302567237163814,135,TRUE,FALSE,0.00740740740740741,"7"
"272","029d2b5df63769a7a9222a3fe5619b7f1cba494b",1385365744,0,0,1,1,1,1,1,0,TRUE,1,100970,3,FALSE,63,4176470,166,3,15,1752,1764,12,1534,1544,15,1666,1678,0.00239736290080911,0.249775247228049,0.251573269403656,2,FALSE,FALSE,0,"7"
"301","02f58be126bc8429bf21d6fb07d7f0ca846eebc4",1378166054,1,0,17,12,3,3,1,0.524051587824875,TRUE,1,53850,4,FALSE,34,353743,138,4,59,1142,1180,56,1132,1167,58,1112,1149,0.00998984083982391,0.188452421266509,0.194717236708432,29,TRUE,FALSE,0.0344827586206897,"7"
"323","034df6e875d6c0b590f3cfb802574c2f982fd534",1382047001,0,0,3,3,2,2,1,0.91829583405449,TRUE,1,17525595,3,FALSE,14,85392,49,3,385,1677,1690,362,1425,1437,363,1627,1637,0.0571159579475914,0.255452691040326,0.257021810764161,6,FALSE,FALSE,0,"7"
"333","035f05eb531cb8dd805685272d46ecd8cb0ad2b3",1378199319,1,1,13,8,1,1,1,0,TRUE,2,27735,5,FALSE,20,1163289,42,3,158,2715,2807,158,2294,2386,156,1706,1796,0.0265561569688769,0.288734776725304,0.303958051420839,21,TRUE,TRUE,0.0476190476190476,"7"
"339","037d1e9b1b89fb0a969b1b02ee4c74550b7864b0",1378985260,0,0,9,13,2,2,1,0.439496986921513,TRUE,5,997086,7,FALSE,135,83383,499,5,26,3654,3661,26,3224,3231,25,2730,2736,0.00431965442764579,0.453729855457717,0.454726698787174,22,FALSE,FALSE,0,"7"
"340","037e9622fa8610cef9490d27adfa07c404d62f5a",1385445434,1,0,2,5,1,1,1,0,TRUE,2,1180976,3,FALSE,134,43511,378,1,1402,575,1893,1140,566,1626,1354,563,1835,0.202359617682198,0.0842293906810036,0.274193548387097,7,TRUE,FALSE,0.142857142857143,"7"
"391","03f39f10cc97db7a1a4bd5b0b9c5cf11dcd604aa",1379927097,0,0,17,1,2,2,1,0.852405178649479,TRUE,4,505199,18,FALSE,17,541561,20,6,6,511,515,6,453,457,4,157,159,0.0134408602150538,0.424731182795699,0.43010752688172,18,FALSE,FALSE,0,"7"
"396","0405d7b937fdeece46efc1ba90171163f3286a56",1382107093,0,1,78,10,5,2,1,0.790557068964176,TRUE,14,3471256,53,FALSE,30,5133,86,7,1379,2761,2761,1254,2432,2432,557,1797,1797,0.087474525787741,0.28186236087161,0.28186236087161,88,FALSE,TRUE,0,"7"
"408","0416e5124307433c4cb8333ab5636490db84fada",1378736313,0,0,4,4,1,1,1,0,TRUE,1,208409,3,FALSE,2,2118159,2,2,268,1058,1294,239,967,1174,35,917,920,0.0368098159509202,0.938650306748466,0.941717791411043,8,FALSE,FALSE,0,"7"
"422","0438cade12bc26e93832d186f010dd77b20ad4c9",1383287173,0,0,36,0,1,1,1,0,TRUE,2,2090167,3,FALSE,5,1738278,6,3,61,2326,2367,61,2039,2080,48,2188,2216,0.00753962148022773,0.336821049392214,0.341129404523773,36,FALSE,FALSE,0,"7"
"441","045ab3003abef85f2533d1a14a5e4f21b24aeb43",1378110332,0,0,46,0,1,1,1,0,TRUE,5,1946545,12,FALSE,40,3581,54,2,38,1685,1713,37,1493,1520,36,1595,1621,0.00627331298745337,0.2706002034588,0.275008477449983,46,FALSE,FALSE,0,"7"
"448","04608f9126d2bc34abff7a80afe7ad1a39679a04",1380020290,1,0,26,1,2,2,1,0.38094658570539,TRUE,1,54726,7,FALSE,3,693287,6,4,6,1117,1120,6,1007,1010,3,970,970,0.00389483933787731,0.945472249269718,0.945472249269718,27,TRUE,FALSE,0.037037037037037,"7"
"459","047a0941dfb230ecdabe57c416ab8905b7662c1a",1384545798,1,0,318,0,2,2,1,0.986145530983562,TRUE,14,1810685,13,FALSE,0,0,0,2,928,1947,2495,880,1672,2191,909,1838,2369,0.137816144176889,0.278509768287142,0.358927760109041,318,TRUE,FALSE,0.00314465408805031,"7"
"469","048a40c0b5e9c57839c8e07d3c2ba4a707796366",1385129990,0,0,42,356,29,16,1,0.647345031591474,TRUE,36,15359288,72,FALSE,72,1135088.10344828,363,2,261,619,875,260,468,723,4,477,477,0.00489236790606654,0.467710371819961,0.467710371819961,398,FALSE,FALSE,0,"7"
"475","0493c803ae9612f87ed028e1a39e880aead5bdcb",1381873734,3,1,73,65,3,2,1,0.521325886847662,TRUE,2,2887342,9,FALSE,129,99395,546,6,1017,3946,4506,783,3444,3807,987,2994,3531,0.15590973646836,0.472621114091842,0.557361527536689,138,TRUE,TRUE,0.0217391304347826,"7"
"496","04c08dfa21e11753984bfa5d874a97ea66ba7712",1381267446,0,0,5,5,1,1,1,0,TRUE,3,761771,10,FALSE,45,5379,88,6,496,3487,3865,337,2963,3197,441,2438,2771,0.0707313170107217,0.390302448391743,0.443590974555929,10,FALSE,FALSE,0,"7"
"509","04e53669dd3e6acd8086fd06ea073a02207ffb24",1383133104,0,1,40,17,2,2,1,0.972966126588902,TRUE,15,10859703,41,FALSE,65,13241,261,4,326,884,1096,315,857,1058,319,855,1063,0.0493522516964837,0.132017273288094,0.164096236890808,57,FALSE,TRUE,0,"7"
"513","04ec96cdc95396ba2f35493a632b603d182ab6ae",1379370680,2,0,44,18,2,1,1,0.345117314944953,TRUE,3,263018,14,FALSE,11,455739,51,6,145,1058,1087,145,956,985,137,909,933,0.138,0.91,0.934,62,TRUE,FALSE,0.032258064516129,"7"
"516","04f3a4e4bd8a7458021993c6912dec369e1f5894",1385597774,0,0,10,4,1,1,1,0,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,14,FALSE,FALSE,0,"7"
"529","05090b275fb3acbd8de25266344fbad9b9648613",1380440361,0,0,22,4,5,5,1,0.809778528035904,TRUE,2,1802027,11,FALSE,67,445869,217,4,1242,2490,3501,1125,2038,2935,434,2217,2456,0.0707777416205662,0.360885128538887,0.399772209567198,26,FALSE,FALSE,0,"7"
"545","0530e02004578a36039111beddf472fcf3e48df6",1385501627,0,0,2,0,2,2,1,1,TRUE,3,4470793,11,FALSE,131,99704,560,9,0,2356,2356,0,2049,2049,0,2223,2223,0.000149009089554463,0.331396215169125,0.331396215169125,2,FALSE,FALSE,0,"7"
"559","0552f37a204cbfa80cf5ec0dd44843eb6e7aaa25",1379414937,0,0,53,15,3,2,1,0.888043559111974,TRUE,3,82666,7,FALSE,77,159721.333333333,289,2,335,1309,1537,319,1088,1304,318,1273,1489,0.0526576427863982,0.210300429184549,0.24595576097722,68,FALSE,FALSE,0,"7"
"569","057534f2baf175b1deff0a34747107e21b41f6fd",1379717749,0,0,20,3,2,2,1,0.998635964158572,TRUE,1,271841,2,FALSE,10,4120,56,2,949,2127,2749,727,1901,2324,923,2019,2619,0.151425762045231,0.331039003605375,0.429367420517863,23,FALSE,FALSE,0,"7"
