"","commit_id","author_date","bugcount","fixcount","la","ld","nf","nd","ns","ent","revd","nrev","rtime","hcmt","self","ndev","age","nuc","app","aexp","rexp","oexp","arexp","rrexp","orexp","asexp","rsexp","osexp","asawr","rsawr","osawr","churn","buggy","fix","bugdens","strata"
"6","00057454f6609871c2cabf874876d26a6d0d0641",1358516662,0,0,2,2,2,2,1,1,TRUE,1,6495227,4,FALSE,6,170682,7,2,12,354,366,10,354,364,0,259,259,0.00347222222222222,0.902777777777778,0.902777777777778,4,FALSE,FALSE,0,"4"
"9","0007d255d9b20da4e5bbcdbaf5813104fbc092da",1358353428,0,0,9,6,1,1,1,0,TRUE,1,1616714,10,FALSE,4,7448,5,6,310,1343,1547,304,1251,1451,6,276,277,0.0247349823321555,0.978798586572438,0.982332155477032,15,FALSE,FALSE,0,"4"
"23","0038e3818393415fc9628aef2747136a626682ee",1341252518,0,0,23,17,3,3,1,0.180696361576786,TRUE,5,318441,19,FALSE,69,283118.333333333,234,4,44,622,622,44,622,622,27,536,536,0.0156774916013438,0.3006718924972,0.3006718924972,40,FALSE,FALSE,0,"2"
"31","00592cfa0b90c66682be2bc31428277c35a35c48",1331588951,0,0,2,2,2,1,1,1,TRUE,1,3361,5,FALSE,33,258411.5,104,3,75,628,673,75,628,673,71,595,636,0.0634361233480176,0.52511013215859,0.561233480176211,4,FALSE,FALSE,0,"1"
"34","005ef0796270cb6238dc9863b468b0f1d7026e7c",1358916201,0,0,39,5,3,2,1,0.763995628403726,TRUE,10,2008805,21,FALSE,17,991240.333333333,32,3,5,1400,1404,5,1289,1293,5,1210,1214,0.00164518782561009,0.332053742802303,0.333150534686043,44,FALSE,FALSE,0,"4"
"36","0061c0ce4443395a258a99c70e1c1a7d0435e84e",1340028045,1,0,462,1,4,3,1,0.584158392647551,TRUE,21,-32841526,30,FALSE,2,50945,2,3,15,53,55,15,53,55,14,45,46,0.132743362831858,0.407079646017699,0.415929203539823,463,TRUE,FALSE,0.00215982721382289,"2"
"37","006254c5050176c9b569007f6ef7203e6067215d",1344016566,0,0,15,3,1,1,1,0,TRUE,3,291966,4,FALSE,12,185436,24,2,799,880,880,797,878,878,304,346,346,0.707656612529002,0.805104408352668,0.805104408352668,18,FALSE,FALSE,0,"2"
"45","006fea117307460544492a3548203a9ef31f34ba",1326777632,0,0,14,24,3,3,1,0.949157473779092,TRUE,1,47765,3,FALSE,19,248387.333333333,37,3,1,158,158,1,158,158,1,152,152,0.00364963503649635,0.279197080291971,0.279197080291971,38,FALSE,FALSE,0,"0"
"46","0070b452f1c00817dd4a47deb57bfbe6b79c4152",1361547297,0,0,1793,106,26,12,1,0.682409649613051,TRUE,16,-11139800,48,FALSE,41,202273.846153846,218,3,198,600,635,198,600,635,184,541,568,0.246995994659546,0.723631508678238,0.759679572763685,1899,FALSE,FALSE,0,"4"
"48","00786bc554a2dfacb3c6f02fbb7e9c98f35d4262",1338278278,0,0,162,139,6,4,2,0.537909531051905,TRUE,2,140121,7,FALSE,61,295465,186,2,314,202,454,314,202,454,260,178,387,0.161210623841878,0.110562075355158,0.239654107473749,301,FALSE,FALSE,0,"1"
