"","commit_id","author_date","bugcount","fixcount","la","ld","nf","nd","ns","ent","revd","nrev","rtime","hcmt","self","ndev","age","nuc","app","aexp","rexp","oexp","arexp","rrexp","orexp","asexp","rsexp","osexp","asawr","rsawr","osawr","churn","buggy","fix","bugdens","strata"
"45","006fea117307460544492a3548203a9ef31f34ba",1326777632,0,0,14,24,3,3,1,0.949157473779092,TRUE,1,47765,3,FALSE,19,248387.333333333,37,3,1,158,158,1,158,158,1,152,152,0.00364963503649635,0.279197080291971,0.279197080291971,38,FALSE,FALSE,0,"0"
"70","00ac2c725097567ab090079db799e70a6f549794",1325089072,0,0,2,2,1,1,1,0,TRUE,2,1178310,2,FALSE,2,1738681,1,4,127,335,335,127,335,335,25,103,103,0.228070175438596,0.912280701754386,0.912280701754386,4,FALSE,FALSE,0,"0"
"78","00c77e0e9af6ae16484e4bee5f33de1eeb812227",1329158817,0,0,24,18,2,2,1,0.526617065571428,TRUE,2,278570,4,FALSE,28,236682,61,3,14,644,649,14,643,648,14,532,537,0.0180940892641737,0.642943305186972,0.64897466827503,42,FALSE,FALSE,0,"0"
"136","014f67a2769720f4833bba74343cedf0e894151c",1328049743,0,0,1,1,1,1,1,0,TRUE,2,82591,4,FALSE,32,10451,42,3,28,352,366,28,352,366,20,273,282,0.0305676855895196,0.398835516739447,0.41193595342067,2,FALSE,FALSE,0,"0"
"170","01afc61e6201ea22926f27e82280f0b3c6f2362f",1322641653,0,0,2,4,1,1,1,0,TRUE,1,102656,2,FALSE,4,707263,6,2,96,105,181,96,105,181,64,101,146,0.224137931034483,0.351724137931034,0.506896551724138,6,FALSE,FALSE,0,"0"
"189","01e6f7575a3c75bd73e297f3d9d003292e0a0e1e",1325731341,0,0,287,0,5,3,1,0.672218215651142,TRUE,8,13374337,19,FALSE,20,451825,33,2,94,356,410,94,355,409,94,254,308,0.204301075268817,0.548387096774194,0.664516129032258,287,FALSE,FALSE,0,"0"
"207","02130b6f9ab6d3443918ae987b419d3b229b39fa",1329929705,0,0,16,2,2,2,1,0.503258334775646,TRUE,1,5609,5,FALSE,7,686883,14,3,64,296,334,63,296,333,59,268,304,0.0655021834061135,0.293668122270742,0.332969432314411,18,FALSE,FALSE,0,"0"
"330","035b43b1fd320008234e066e30629fb0e359b424",1326393501,0,0,38,11,1,1,1,0,TRUE,3,350596,12,FALSE,6,4541816,6,2,13,269,277,13,269,277,13,217,225,0.0276679841897233,0.430830039525692,0.446640316205534,49,FALSE,FALSE,0,"0"
"357","03a028e62157a3f5160d60c146ba52cd0ca79dbc",1328140476,0,0,8,1,1,1,1,0,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,9,FALSE,FALSE,0,"0"
"414","041e325dd03cbe5874770708f8e3f2b4a73d756c",1328738597,0,0,8,16,2,2,1,0.413816850303634,TRUE,1,2977,2,FALSE,42,56282,153,2,179,453,527,179,453,527,168,378,447,0.214739517153748,0.481575603557814,0.569250317662008,24,FALSE,FALSE,0,"0"
"437","0450e385c9c30a03fcca73ad16e699025223e6e5",1325240273,0,0,24,1,2,2,1,0.242292189082415,TRUE,2,370919,4,FALSE,18,1040777,33,2,15,350,358,15,349,357,10,260,264,0.025,0.593181818181818,0.602272727272727,25,FALSE,FALSE,0,"0"
"477","04986f2f0c4a570c1cb786aa69a5608620108e50",1326398475,0,0,27,9,3,2,1,0.615977318806496,TRUE,2,96864,3,FALSE,17,285695,35,2,7,389,390,7,388,389,7,296,297,0.015748031496063,0.584645669291339,0.586614173228346,36,FALSE,FALSE,0,"0"
"497","04ca11bd4cf43b4332c02a15edd506868031168a",1327432352,0,0,19,8,1,1,1,0,TRUE,3,708663,13,FALSE,35,112878,83,2,16,299,310,16,299,310,16,232,243,0.027027027027027,0.370429252782194,0.3879173290938,27,FALSE,FALSE,0,"0"
"502","04d38feb65b06d33224d356f6db1b9202532e2ed",1329167099,0,0,22,8,1,1,1,0,TRUE,1,4184,2,FALSE,23,248629,40,2,59,443,490,58,443,489,54,431,473,0.0660264105642257,0.518607442977191,0.569027611044418,30,FALSE,FALSE,0,"0"
"535","0514bc9d5e92ed0eb6671349e8ff37d7f58aab85",1323819258,0,0,97,266,9,6,1,0.656677794666386,TRUE,1,164700,8,FALSE,34,24878.6666666667,125,2,68,186,224,68,186,224,63,136,172,0.177285318559557,0.379501385041551,0.479224376731302,363,FALSE,FALSE,0,"0"
"615","06112dc34865ec6b54042bf0e55b23c59675744d",1326731031,0,0,2,2,1,1,1,0,TRUE,3,88267,5,FALSE,26,32050,45,2,6,271,275,6,271,275,6,211,215,0.012962962962963,0.392592592592593,0.4,4,FALSE,FALSE,0,"0"
"617","0613daa931d897fd3a91feef5e9747cdf60ebfe2",1330003512,0,0,54,4,3,3,1,0.571924339052204,TRUE,4,377460,5,FALSE,20,171098.333333333,51,2,30,300,305,30,300,305,27,154,156,0.154696132596685,0.856353591160221,0.867403314917127,58,FALSE,FALSE,0,"0"
"652","067eb74733d00d2d9eda46b313c612746b1bba2e",1326748366,0,0,4,4,1,1,1,0,TRUE,1,2133,4,FALSE,9,49385,13,2,87,168,232,87,167,231,66,151,196,0.123388581952118,0.279926335174954,0.36279926335175,8,FALSE,FALSE,0,"0"
"653","067f0a2d2971ab64ee6fa6f3689fc1158471af18",1330470841,0,0,2,0,1,1,1,0,TRUE,1,74097,2,FALSE,33,379270,124,2,136,420,504,136,420,504,110,403,464,0.114788004136505,0.417786970010341,0.480868665977249,2,FALSE,FALSE,0,"0"
"656","068f31c6cd3eff68f08ee597f7296e4f6e47388f",1329421150,0,0,2,1,1,1,1,0,TRUE,3,19104,8,FALSE,23,74087,52,2,40,422,449,40,422,449,30,416,433,0.0352673492605233,0.474402730375427,0.493742889647326,3,FALSE,FALSE,0,"0"
"683","06e5909d05321a257afe6fa3b9b440e29cea88e7",1324585611,0,0,42,29,3,2,1,0.642522843940475,TRUE,1,1861,2,FALSE,14,289633.333333333,27,2,40,126,155,40,126,155,26,113,129,0.0642857142857143,0.271428571428571,0.30952380952381,71,FALSE,FALSE,0,"0"
"712","073f629d7878078f6294de3771f23b85d72d0286",1323634456,0,0,6,5,4,1,1,0.968130013765764,TRUE,3,87247,6,FALSE,5,873030.5,8,2,45,117,156,45,117,156,15,98,107,0.046242774566474,0.286127167630058,0.312138728323699,11,FALSE,FALSE,0,"0"
"787","07d74aa916ee2798f717ae5d298f8ca51e883770",1328215930,0,0,13,15,2,2,1,0.863120568566631,TRUE,3,77658,5,FALSE,7,1461918.5,7,2,1,457,458,1,457,458,0,386,386,0.00139082058414465,0.538247566063978,0.538247566063978,28,FALSE,FALSE,0,"0"
"811","0815320b5b1df711bed25704fd7542a4841c0a04",1326405659,0,0,1,1,1,1,1,0,TRUE,1,1693,3,FALSE,21,274086,87,2,317,225,466,316,225,465,226,212,366,0.443359375,0.416015625,0.716796875,2,FALSE,FALSE,0,"0"
"892","08fa534a0d28fa1be48aef927584161becb936c7",1329439330,0,0,267,376,10,7,1,0.726410805672371,TRUE,5,506543,6,FALSE,49,113981.2,213,1,185,282,426,185,282,426,180,281,420,0.204751131221719,0.319004524886878,0.476244343891403,643,FALSE,FALSE,0,"0"
"919","093c147a14059c60e6b787589398ee7d8f9792d9",1327523409,0,0,4,1,2,2,1,0.970950594454669,TRUE,2,35058,3,FALSE,4,69889,4,3,10,582,583,10,581,582,10,471,472,0.0171073094867807,0.734059097978227,0.735614307931571,5,FALSE,FALSE,0,"0"
"922","093e4d38d511c7bb8d48fceebbfd8e350b533075",1328116036,0,0,2,1,1,1,1,0,TRUE,1,2376,2,FALSE,18,7550,26,2,145,382,444,145,382,444,135,301,359,0.195402298850575,0.433908045977011,0.517241379310345,3,FALSE,FALSE,0,"0"
"943","097ced8cb255604d07e13b5238f2423b719654b7",1326468526,0,0,23,2,2,2,1,0.904381457724494,TRUE,6,462235,4,FALSE,6,2015657,10,2,1,278,278,1,278,278,1,118,118,0.0151515151515152,0.901515151515151,0.901515151515151,25,FALSE,FALSE,0,"0"
"979","09ccc2f9315eb0441d5f7793326614cc25814089",1327581521,0,0,268,47,12,8,1,0.761606977532502,TRUE,17,3747117,34,FALSE,55,35774.25,191,2,3,543,544,3,542,543,3,411,412,0.00617283950617284,0.635802469135803,0.637345679012346,315,FALSE,FALSE,0,"0"
