"","commit_id","author_date","bugcount","fixcount","la","ld","nf","nd","ns","ent","revd","nrev","rtime","hcmt","self","ndev","age","nuc","app","aexp","rexp","oexp","arexp","rrexp","orexp","asexp","rsexp","osexp","asawr","rsawr","osawr","churn","buggy","fix","bugdens","strata"
"15","001c842689ee5a0a91fff51a25fc6f7f9d523e51",1390977954,0,0,94,93,14,1,1,0.770571894596835,TRUE,2,611482,3,FALSE,30,5700819.42857143,124,1,127,325,360,114,315,341,121,303,337,0.00635218160991357,0.0158283869624076,0.0175986670832032,187,FALSE,FALSE,0,"10"
"29","003a52cc4d37836f87712379a6819f8bf31bbce5",1393726287,0,0,6,0,1,1,1,0,TRUE,1,234477,2,FALSE,17,8315,59,1,487,3978,4242,369,2849,3044,447,3164,3408,0.022406722016605,0.158297489246774,0.170501150345104,6,FALSE,FALSE,0,"10"
"42","005b556489d77ef566dcffcce9d7b4a085dc3959",1389798473,0,0,12,4,1,1,1,0,TRUE,1,20936,2,FALSE,6,18677861,8,1,290,533,823,280,343,623,55,166,221,0.00865533230293663,0.0258114374034003,0.0343122102009274,16,FALSE,FALSE,0,"10"
"62","007e8063946e66d32e4ab7e345472036517135ff",1387961058,0,0,1,1,1,1,1,0,TRUE,5,824899,19,FALSE,1,2988768,3,2,353,359,359,282,288,288,67,67,67,0.0755555555555556,0.0755555555555556,0.0755555555555556,2,FALSE,FALSE,0,"10"
"92","00b96399e6d3bcd7a1081721cafeb15da3ab9781",1391014560,0,0,18,3,2,1,1,0.591672778582327,TRUE,6,1570568,12,FALSE,15,4456887.5,28,3,241,355,538,224,262,432,230,299,472,0.01201248049922,0.015600624024961,0.0245969838793552,21,FALSE,FALSE,0,"10"
"103","00cfcfefb353b7157b0d206fca68bd614c558ca6",1394835584,0,0,6,0,1,1,1,0,TRUE,1,1680361,4,FALSE,15,3843493,24,1,5,2804,2807,4,1730,1732,3,2449,2451,0.000196241966344503,0.120198204386008,0.12029632536918,6,FALSE,FALSE,0,"10"
"182","0156038682cc40d44fedfc28dc9b78d1a0e6203b",1392733728,0,1,2,2,1,1,1,0,TRUE,2,171387,5,FALSE,3,18074504,4,2,1671,369,2036,1094,359,1449,35,31,66,0.0378151260504202,0.0336134453781513,0.0703781512605042,4,FALSE,TRUE,0,"10"
"187","01614b1d9ab60057bb98a6f740dbfa16f2636060",1391883429,0,0,6,0,2,2,1,0.91829583405449,TRUE,1,65276,1,FALSE,5,18884855,11,1,103,319,422,81,301,382,0,247,247,0.00292397660818713,0.725146198830409,0.725146198830409,6,FALSE,FALSE,0,"10"
"196","01714ef0c5ee80544e3799ae2a66d9a611c9d71f",1392643184,0,0,10,6,1,1,1,0,TRUE,1,18072,1,FALSE,10,35515915,20,1,2653,274,2908,1809,225,2020,701,29,725,0.105532170775707,0.00450992182802165,0.109140108238124,16,FALSE,FALSE,0,"10"
"209","018d1ca5f3209949cb7e8e1306250ec030fee929",1393356819,0,1,25,11,1,1,1,0,TRUE,5,588151,3,FALSE,21,1059535,71,1,464,204,646,380,163,522,415,168,566,0.0209381920676465,0.00850614052748138,0.0285383531306624,36,FALSE,TRUE,0,"10"
